"id","title","content","pub_date","source_url","category"
34,"Russia is 'going backwards' in equipment and deploying post WWII-era tanks, according to Western officials","• Jailed Wall Street Journal reporter Evan Gershkovich denied detention appeal in Moscow
• Putin visits Russian troops at military headquarters in Kherson
• Watch moment WSJ journalist appears in Russian court",NULL,"https://www.cnn.com/europe/live-news/russia-ukraine-war-news-04-18-23/index.html",NULL
35,"Two Russians claiming to be former Wagner commanders admit killing children and civilians in Ukraine","Two Russian men who claim to be former Wagner Group commanders have told a human rights activist that they killed children and civilians during their time in Ukraine.","2023-04-18 19:07:52","https://www.cnn.com/2023/04/17/europe/wagner-commanders-russia-kill-children-intl-hnk/index.html",NULL
36,"'My stomach is hurting from laughing': Hear panelist's reaction to DeSantis' threat to Disney","CNN panelists react to Florida Gov. Ron DeSantis floating the idea of building a competing theme park next to Disney World in Orlando.","2023-04-18 03:24:56","https://www.cnn.com/videos/business/2023/04/18/desantis-disney-competition-panel-reax-pt-vpx.cnn",NULL
37,"GOP prepared to block vote to replace Feinstein on Senate Judiciary","Senate Majority Leader Chuck Schumer said on Tuesday that he hopes to replace Democratic Sen. Dianne Feinstein on the Senate Judiciary Committee with Sen. Ben Cardin of Maryland and aims to set up a floor vote on the issue this afternoon, which Republicans are expected to block.","2023-04-18 22:03:13","https://www.cnn.com/2023/04/18/politics/schumer-senate-feinstein-vote-cardin/index.html",NULL
38,"Oklahoma governor calls on officials to resign over recording of racist and threatening remarks","","2023-04-18 17:33:17","https://www.cnn.com/2023/04/18/us/mccurtain-county-oklahoma-officials-recording/index.html",NULL
39,"McCarthy slams Biden in handling of US debt","House Speaker Kevin McCarthy traveled to Wall Street on Monday to deliver a fresh warning that the House GOP majority will refuse to lift a cap on government borrowing unless Biden agrees to spending cuts that would effectively neutralize his domestic agenda.","2023-04-18 22:03:01","https://www.cnn.com/videos/politics/2023/04/18/kevin-mccarthy-wall-street-speech-debt-ceiling-biden-economy-vpx.cnn",NULL
40,"US warns Russia not to touch American nuclear technology at Ukrainian nuclear plant","The US has sensitive nuclear technology at a nuclear power plant inside Ukraine and is warning Russia not to touch it, according to a letter the US Department of Energy sent to Russia's state-owned nuclear energy firm Rosatom last month.","2023-04-19 08:35:33","https://www.cnn.com/2023/04/18/politics/us-warns-russia-zaporizhzhia-nuclear-plant/index.html",NULL
41,"Repeated gunshots fired on live TV as ex-lawmaker shot by assassins","Atiq Ahmed, a former lawmaker in India's parliament, convicted of kidnapping, was shot dead along with his brother while police were escorting them for a medical check-up in a slaying caught on live television on Saturday. CNN's Vedika Sud reports.","2023-04-18 09:41:42","https://www.cnn.com/videos/world/2023/04/18/india-ex-lawmaker-atiq-ahmed-assassination-sud-pkg-contd-ovn-intl-hnk-vpx.cnn",NULL
42,"FDA clears the way for additional bivalent boosters for certain vulnerable individuals","The U.S. Food and Drug Administration amended the terms of its emergency use authorizations for the Pfizer and Moderna bivalent vaccines on Tuesday, allowing people ages 65 and older and certain people with weakened immunity to get additional doses before this fall's vaccination campaigns.","2023-04-18 15:09:15","https://www.cnn.com/2023/04/18/health/fda-bivalent-booster-additional-doses/index.html",NULL
43,"Maine authorities detained a person of interest after 4 people were found dead in a home and 3 others shot while driving","Maine authorities have detained a person of interest and continue to investigate after two shooting incidents that appear to be connected left at least four people dead and three others injured, state police said.","2023-04-19 01:49:51","https://www.cnn.com/2023/04/18/us/maine-shooting-bowdoin-yarmouth/index.html",NULL
